"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000079033",3.59210127305424,8.13967479486409,12.3346999766979,1.86235961878331e-06,4.65453966037522e-05,5.68803819862559
"ENSMUSG00000102918",3.58959401917741,6.75191309378745,10.5980385440546,5.83495922432875e-06,9.68683805400687e-05,4.47756667503354
"ENSMUSG00000037725",3.58233322125731,9.01498854154529,15.5779012730611,3.12217051683666e-07,1.75251013928668e-05,7.54048544501463
"ENSMUSG00000024778",3.56089158882503,9.17457295500141,17.9076137161436,1.06191481078741e-07,9.96163373187974e-06,8.62590659460894
"ENSMUSG00000025433",-3.53450579830678,5.73903534092221,-14.2636616967858,6.14884640326134e-07,2.55195758603234e-05,6.84450288256363
"ENSMUSG00000038146",3.53422405951243,6.06871116528217,13.4131385165908,9.84217498851914e-07,3.18204262447225e-05,6.35612849874146
"ENSMUSG00000000884",3.53368296101451,8.11848877536457,17.813302737528,1.10634773359384e-07,1.01686513682062e-05,8.58521168923988
"ENSMUSG00000084261",3.53357423323327,4.37574083951231,11.2659009109627,3.69179185200503e-06,7.28210190092575e-05,4.96467174420076
"ENSMUSG00000022483",3.52618221021578,4.37089780547761,10.3305391953543,7.05968083104358e-06,0.000111660610344829,4.27416094577323
"ENSMUSG00000036678",3.52426111653263,11.1683349587432,18.1432842319129,9.593876529227e-08,9.63554146081757e-06,8.72650122444056
"ENSMUSG00000022044",3.52377048289955,3.76188524144977,4.61681859952045,0.00175388009635421,0.00649220048639655,-1.68021202702281
"ENSMUSG00000034437",3.5089443523768,6.25043110908644,9.10093805910062,1.7983577884713e-05,0.000208394481549555,3.27125211176388
"ENSMUSG00000046818",3.50481037913329,6.87733831087439,15.3584349230626,3.48293624730734e-07,1.82594268664242e-05,7.42885516517735
"ENSMUSG00000033854",3.50390275771096,6.46055011369045,12.8579331353296,1.35837715868578e-06,3.78136861084562e-05,6.01940635184999
"ENSMUSG00000083728",3.50380909720147,8.49488143031268,16.4824939560111,2.01912770525869e-07,1.42698665025727e-05,7.98269957384128
"ENSMUSG00000031969",3.49464357145047,8.9480819392901,13.7833229703092,7.99347111454942e-07,2.85672175908661e-05,6.5726200939735
"ENSMUSG00000024521",3.4834782190485,10.3386034736396,22.2621928824875,1.94610404692948e-08,4.29900661721711e-06,10.2635720017189
